run,experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
catboost_cfg_sweep,early_fusion_catboost_cfg3,3,fus,"[0.0,5.0]",0.6588486140724946,0.2857142857142857,0.5611539319349529,14,67,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,4,fus,"(10.0,15.0]",0.44761904761904764,0.0,0.3438138343243666,5,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,4,fus,"(5.0,10.0]",0.6666666666666666,0.14285714285714285,0.3438138343243666,7,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,4,fus,"[0.0,5.0]",0.6904761904761905,0.5,0.3438138343243666,16,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,5,fus,"(10.0,15.0]",0.4933333333333333,0.0,0.6705627212777142,2,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,5,fus,"(5.0,10.0]",0.6266666666666667,0.0,0.6705627212777142,4,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,5,fus,"[0.0,5.0]",0.608,0.1,0.6705627212777142,10,75,0.1
catboost_cfg_sweep,text_catboost_cfg1,1,txt,"(10.0,15.0]",0.3825665859564164,0.14285714285714285,0.9381818153770791,7,59,0.1
catboost_cfg_sweep,text_catboost_cfg1,1,txt,"(5.0,10.0]",0.5612052730696798,0.1111111111111111,0.9381818153770791,9,59,0.1
catboost_cfg_sweep,text_catboost_cfg1,1,txt,"[0.0,5.0]",0.5264830508474576,0.0625,0.9381818153770791,16,59,0.1
catboost_cfg_sweep,text_catboost_cfg1,2,txt,"(10.0,15.0]",0.445,0.0,0.822769917387983,10,60,0.1
catboost_cfg_sweep,text_catboost_cfg1,2,txt,"(5.0,10.0]",0.6033333333333333,0.0,0.822769917387983,5,60,0.1
catboost_cfg_sweep,text_catboost_cfg1,2,txt,"[0.0,5.0]",0.53125,0.0,0.822769917387983,16,60,0.1
catboost_cfg_sweep,text_catboost_cfg1,3,txt,"(10.0,15.0]",0.48756218905472637,0.0,0.7928061723944029,3,67,0.1
catboost_cfg_sweep,text_catboost_cfg1,3,txt,"(5.0,10.0]",0.6993603411513859,0.14285714285714285,0.7928061723944029,7,67,0.1
catboost_cfg_sweep,text_catboost_cfg1,3,txt,"[0.0,5.0]",0.6791044776119404,0.35714285714285715,0.7928061723944029,14,67,0.1
catboost_cfg_sweep,text_catboost_cfg1,4,txt,"(10.0,15.0]",0.5301587301587302,0.2,0.7508167893492275,5,63,0.1
catboost_cfg_sweep,text_catboost_cfg1,4,txt,"(5.0,10.0]",0.6303854875283447,0.0,0.7508167893492275,7,63,0.1
catboost_cfg_sweep,text_catboost_cfg1,4,txt,"[0.0,5.0]",0.5912698412698413,0.1875,0.7508167893492275,16,63,0.1
catboost_cfg_sweep,text_catboost_cfg1,5,txt,"(10.0,15.0]",0.3,0.0,0.702587879686984,2,75,0.1
catboost_cfg_sweep,text_catboost_cfg1,5,txt,"(5.0,10.0]",0.67,0.25,0.702587879686984,4,75,0.1
catboost_cfg_sweep,text_catboost_cfg1,5,txt,"[0.0,5.0]",0.636,0.3,0.702587879686984,10,75,0.1
catboost_cfg_sweep,text_catboost_cfg2,1,txt,"(10.0,15.0]",0.397094430992736,0.0,0.9037469066013106,7,59,0.1
catboost_cfg_sweep,text_catboost_cfg2,1,txt,"(5.0,10.0]",0.5687382297551788,0.1111111111111111,0.9037469066013106,9,59,0.1
catboost_cfg_sweep,text_catboost_cfg2,1,txt,"[0.0,5.0]",0.5116525423728814,0.0625,0.9037469066013106,16,59,0.1
catboost_cfg_sweep,text_catboost_cfg2,2,txt,"(10.0,15.0]",0.46166666666666667,0.0,0.73768802823375,10,60,0.1
catboost_cfg_sweep,text_catboost_cfg2,2,txt,"(5.0,10.0]",0.5700000000000001,0.0,0.73768802823375,5,60,0.1
catboost_cfg_sweep,text_catboost_cfg2,2,txt,"[0.0,5.0]",0.5145833333333333,0.0625,0.73768802823375,16,60,0.1
catboost_cfg_sweep,text_catboost_cfg2,3,txt,"(10.0,15.0]",0.5174129353233831,0.3333333333333333,0.7345778690525523,3,67,0.1
